ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barometrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Temperature;Point de rosee;Humidite;Visibilite horizontale;Temps present;Temps passe 1;Temps passe 2;Nebulosite totale;Nebulosite  des nuages de l' etage inferieur;Hauteur de la base des nuages de l'etage inferieur;Type des nuages de l'etage inferieur;Type des nuages de l'etage moyen;Type des nuages de l'etage superieur;Pression station;Niveau barometrique;Geopotentiel;Variation de pression en 24 heures;Temperature minimale sur 12 heures;Temperature minimale sur 24 heures;Temperature maximale sur 12 heures;Temperature maximale sur 24 heures;Temperature minimale du sol sur 12 heures;Methode de mesure Temperature du thermometre mouille;Temperature du thermometre mouille;Rafale sur les 10 dernieres minutes;Rafales sur une periode;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige glace autre au sol;Hauteur de la neige fraiche;Periode de mesure de la neige fraiche;Precipitations dans la derniere heure;Precipitations dans les 3 dernieres heures;Precipitations dans les 6 dernieres heures;Precipitations dans les 12 dernieres heures;Precipitations dans les 24 dernieres heures;Phenomene special 1;Phenomene special 2;Phenomene special 3;Phenomene special 4;Nebulosite couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nebulosite couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nebulosite couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nebulosite couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barometrique;Temps passe 1;Temps present
7130;2018-03-02T19:00:00+01:00;98880;40;3;180;4.7;279.45;275.35;75;33650;0;;;100;2;1250;;;;98440;;;540;278.950000;;282.750000;;277.850000;;;7.700000;15.600000;-10;;;;;-0.1;-0.1;-0.100000;-0.1;6.5;;;;;2;;1410;7;;1980;8;;2280;;;;48.068833, -1.734;RENNES-ST JACQUES;3;;0
7130;2018-03-03T01:00:00+01:00;98820;-130;6;110;4.9;277.25;273.55;77;26350;0;;;100;8;1250;;;;98370;;;710;;;;;276.750000;;;8.000000;8.300000;-10;0;0.000000;;;0.0;0.0;-0.100000;-0.1;2.9;;;;;8;;1380;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;6;;0
7130;2018-03-08T22:00:00+01:00;100510;120;2;160;1.9;281.65;280.55;93;12780;0;;;100;8;1250;;;;100060;;;180;;;;;280.250000;;;2.400000;3.300000;-10;0;0.000000;;;0.0;0.0;0.000000;4.2;5.4;;;;;8;;1470;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;2;;0
7130;2018-03-09T07:00:00+01:00;100280;-100;8;150;3.1;281.35;280.55;95;17250;0;;;100;5;1250;;;;99830;;;220;281.350000;;282.850000;;280.850000;;;4.800000;5.600000;-10;2;0.000000;;;-0.1;-0.1;-0.100000;0.2;5.6;;;;;5;;1260;5;;1800;6;;2220;;;;48.068833, -1.734;RENNES-ST JACQUES;8;;0
7130;2018-02-26T07:00:00+01:00;102360;0;4;50;4.1;269.95;263.45;61;31610;0;;;;0;;;;;101880;;;420;269.950000;;276.650000;;273.550000;;;6.200000;8.900000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;4;;0
7130;2018-02-26T19:00:00+01:00;102340;50;3;50;7.0;272.55;262.05;45;35900;0;;;;0;;;;;101870;;;200;269.850000;;275.650000;;273.450000;;;11.100000;12.900000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;3;;0
7130;2018-03-08T01:00:00+01:00;100250;-80;8;180;4.6;278.85;277.85;93;30600;0;;;90;6;800;;;;99800;;;1000;;;;;278.450000;;;6.400000;6.600000;-10;;;;;0.0;0.0;0.000000;0.4;0.4;;;;;1;;750;6;;1380;7;;1560;;;;48.068833, -1.734;RENNES-ST JACQUES;8;;0
7130;2018-03-10T13:00:00+01:00;99730;180;1;240;5.5;289.15;282.55;65;19610;0;;;;5;800;;;;99300;;;-370;;;;;282.650000;;;9.400000;10.100000;-10;0;0.000000;;;0.0;0.0;0.200000;0.2;0.2;;;;;4;;840;5;;1050;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;1;;0
7130;2018-02-22T13:00:00+01:00;101940;-90;8;30;4.7;278.85;270.05;53;7440;0;;;;0;;;;;101480;;;-430;;;;;275.550000;;;6.700000;8.000000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;8;;0
7130;2018-02-19T10:00:00+01:00;101930;10;3;280;1.2;282.45;282.35;99;5660;61;;;100;8;80;;;;101480;;;-320;;;;;280.850000;;;1.800000;2.300000;-10;2;0.000000;;;0.4;0.8;1.400000;1.6;3.6;;;;;8;;90;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;3;;61
7130;2018-02-08T13:00:00+01:00;102270;-60;8;250;2.1;280.05;271.35;54;19930;0;;;;0;;;;;101810;;;250;;;;;274.150000;;;3.800000;4.000000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.2;;;;;;;;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;8;;0
7130;2018-02-10T10:00:00+01:00;102220;-20;8;170;2.5;276.15;273.85;85;31600;0;;;;0;;;;;101750;;;770;;;;;275.850000;;;3.400000;3.600000;-10;1;;;;0.0;0.0;0.000000;-0.1;0.2;;;;;;;;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;8;;0
7130;2018-02-13T04:00:00+01:00;100990;-460;8;160;6.8;275.95;274.15;88;56560;0;;;100;1;1250;;;;100530;;;-970;;;;;275.750000;;;10.000000;10.000000;-10;1;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;1;;1380;8;;7200;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;8;;0
7130;2018-02-21T07:00:00+01:00;102260;50;3;20;4.3;278.95;276.75;86;31700;0;;;100;8;800;;;;101800;;;340;276.750000;;281.450000;;279.450000;;;6.500000;7.100000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;-0.1;;;;;8;;900;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;3;;0
7130;2018-02-19T01:00:00+01:00;102030;-60;8;210;1.3;280.75;280.45;98;3380;10;;;100;8;80;;;;101570;;;-510;;;;;280.850000;;;1.800000;2.800000;-10;2;0.000000;;;0.0;-0.1;0.600000;1.8;7.0;;;;;8;;90;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;8;;10
7130;2018-01-19T07:00:00+01:00;101540;0;5;240;2.9;278.45;276.65;88;17910;61;;;100;5;1250;;;;101080;;;460;277.150000;;283.050000;;278.250000;;;4.200000;5.500000;-10;2;0.000000;;;-0.1;-0.1;-0.100000;-0.1;1.4;;;;;1;;1170;5;;1350;7;;1560;;8;;48.068833, -1.734;RENNES-ST JACQUES;5;;61
7130;2018-01-09T04:00:00+01:00;101000;-140;6;120;2.9;278.65;277.75;94;4540;10;;;;4;800;;;;100540;;;-660;;;;;279.850000;;;4.700000;4.700000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;1;;780;4;;930;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;6;;10
7130;2018-01-14T13:00:00+01:00;101790;110;1;60;1.2;278.25;276.75;90;4030;10;;;100;8;250;;;;101330;;;130;;;;;278.750000;;;2.000000;3.600000;-10;0;0.000000;;;0.0;0.0;-0.100000;-0.1;-0.1;;;;;8;;240;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;1;;10
7130;2018-01-11T16:00:00+01:00;101950;240;3;20;3.4;282.65;279.35;80;34030;0;;;;5;450;;;;101500;;;1280;;;;;281.050000;;;4.800000;7.100000;-10;0;0.000000;;;0.0;0.0;0.000000;-0.1;-0.1;;;;;5;;540;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;3;;0
7130;2018-05-07T08:00:00+02:00;101750;10;3;300;1.1;285.55;285.25;98;2130;10;;;;0;;;;;101300;;;-370;283.950000;;296.150000;;285.350000;;;1.600000;2.000000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;3;;10
7130;2018-05-08T05:00:00+02:00;101210;-130;6;300;2.1;284.85;284.25;96;1110;10;;;;0;;;;;100760;;;-530;;;;;286.450000;;;2.600000;2.600000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;6;;10
7130;2018-04-22T05:00:00+02:00;101340;-90;8;0;0.0;283.45;282.95;97;3050;10;;;;0;;;;;100890;;;-640;;;;;284.150000;;;0.900000;1.100000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;8;;10
7130;2018-06-05T17:00:00+02:00;101180;-70;8;10;2.9;293.05;290.45;85;10420;0;;;90;7;450;;;;100750;;;130;;;;;290.450000;;;4.200000;5.600000;-10;0;0.000000;;;-0.1;-0.1;-0.100000;-0.1;1.0;;;;;7;;;7;;;;8;;;;;48.068833, -1.734;RENNES-ST JACQUES;8;;0
7130;2018-05-10T23:00:00+02:00;102090;30;0;70;2.7;282.95;276.85;66;46430;0;;;;0;;;;;101640;;;840;;;;;284.950000;;;3.300000;3.800000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.2;;;;;;;;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;0;;0
