end_time,distance,,,,,,,,,,
2018-12-12,1100.5435,,,,,,,,,,
2018-06-26,3105.3574,,,,,,,,,,
2018-06-13,3134.1787,,,,,,,,,,
2018-12-30,949.0198,,,,,,,,,,
2018-10-20,915.76697,,,,,,,,,,
2018-10-29,1654.5293,,,,,,,,,,
2018-06-02,3216.6223,,,,,,,,,,
2018-07-09,2990.2546,,,,,,,,,,
2018-10-07,1118.166,,,,,,,,,,
2018-06-27,1890.0977,,,,,,,,,,
2018-06-08,1854.8047,,,,,,,,,,
2018-09-28,1292.5106,,,,,,,,,,
2019-01-23,1017.4547,,,,,,,,,,
2019-01-10,5543.48,,,,,,,,,,
2018-08-18,1176.5869,,,,,,,,,,
2018-12-02,973.07227,,,,,,,,,,
2018-08-18,1084.4963,,,,,,,,,,
2018-07-20,3180.4468,,,,,,,,,,
2018-11-02,1790.7363,,,,,,,,,,
2018-08-15,1641.5,,,,,,,,,,
2018-07-23,946.81934,,,,,,,,,,
2018-10-29,1461.4277,,,,,,,,,,
2018-07-14,3415.3423,,,,,,,,,,
2018-10-26,1350.8384,,,,,,,,,,
2018-07-26,1217.457,,,,,,,,,,
2018-06-05,3046.1934,,,,,,,,,,
2019-01-04,1107.95,,,,,,,,,,
2018-07-17,3202.1174,,,,,,,,,,
2018-06-11,2641.6567,,,,,,,,,,
2018-12-14,1254.3903,,,,,,,,,,
2019-01-19,1127.2048,,,,,,,,,,
2018-06-27,3011.25,,,,,,,,,,
2018-09-08,1293.7383,,,,,,,,,,
2018-07-25,1249.834,,,,,,,,,,
2018-06-14,1345.6011,,,,,,,,,,
2018-07-25,1733.5469,,,,,,,,,,
2018-06-24,2002.7988,,,,,,,,,,
2018-06-28,1594.5547,,,,,,,,,,
2018-10-28,1367.7109,,,,,,,,,,
2018-07-29,1168.1675,,,,,,,,,,
2018-08-12,934.6387,,,,,,,,,,
2018-12-13,1091.7593,,,,,,,,,,
2018-07-05,2353.6719,,,,,,,,,,
2018-08-04,2160.9082,,,,,,,,,,
2018-07-07,2551.4414,,,,,,,,,,
2018-12-12,1102.457,,,,,,,,,,
2018-08-10,1175.3921,,,,,,,,,,
