Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (BE)"	"10/03/2018 10:15 AM CEST"	"10/03/2018 12:15 PM CEST"	"Enseignant : MARCHAND Cédric Groupe : MOD 3.3"	""	"F7 - 1Etg"
"Défis informatiques du Big Data (TP)"	"10/03/2018 02:00 PM CEST"	"10/03/2018 04:00 PM CEST"	"Enseignant : CHAMPIN Pierre-Antoine, DERRODE Stéphane Groupe: MOD 2.1_1"	""	"Salle 111"
"Défis informatiques du Big Data (TP)"	"10/03/2018 04:15 PM CEST"	"10/03/2018 06:15 PM CEST"	"Enseignant : CHAMPIN Pierre-Antoine, DERRODE Stéphane Groupe: MOD 2.1_1"	""	"Salle 111"
"Système de bases de données / Systèmes de bases de données (Autonomie)"	"10/04/2018 08:00 AM CEST"	"10/04/2018 10:00 AM CEST"	"Groupe : MOD 4.6"	""	""
"Système de bases de données / Systèmes de bases de données (Cours)"	"10/04/2018 10:15 AM CEST"	"10/04/2018 12:15 PM CEST"	"Enseignant : CHEN Liming Groupe : MOD 4.6"	""	"Amphi 1bis"
"Droit de l'entreprise (Cours)"	"10/05/2018 08:00 AM CEST"	"10/05/2018 10:00 AM CEST"	"Enseignant : DEL PUPPO Sophie Groupe : MOM 3.1"	""	"Amphi 202"
"Intelligence économique et protection de l'information (Cours)"	"10/05/2018 10:15 AM CEST"	"10/05/2018 12:15 PM CEST"	"Enseignant : MIRA BONNARDEL Sylvie Groupe : MOM 2.2"	""	"Amphi 1bis"
"Réseaux informatiques (Cours)"	"10/05/2018 01:30 PM CEST"	"10/05/2018 03:30 PM CEST"	"Enseignant : CHALON René Groupe : MOD 9.5"	""	"Amphi 201"
"Système de bases de données / Systèmes de bases de données (Cours)"	"10/05/2018 03:45 PM CEST"	"10/05/2018 05:45 PM CEST"	"Enseignant : CHEN Liming Groupe : MOD 4.6"	""	"Amphi 201"
"Défis informatiques du Big Data (Cours)"	"10/08/2018 08:00 AM CEST"	"10/08/2018 10:00 AM CEST"	"Enseignant : DERRODE Stéphane Groupe : MOD 2.1"	""	"Amphi 201"
"Automatique Avancée / Extraction de connaissances et apprentissage artificiel / Extraction de Connaissances et apprentissage artificiel (Cours)"	"10/08/2018 10:15 AM CEST"	"10/08/2018 12:15 PM CEST"	"Enseignant : SAIDI Alexandre Groupe : MOD 7.2"	""	"Amphi 201"
"Système de bases de données / Systèmes de bases de données (Cours)"	"10/08/2018 02:00 PM CEST"	"10/08/2018 04:00 PM CEST"	"Enseignant : CHEN Liming Groupe : MOD 4.6"	""	"Amphi 203"
"Système de bases de données / Systèmes de bases de données (BE)"	"10/08/2018 04:15 PM CEST"	"10/08/2018 06:15 PM CEST"	"Enseignant : CHEN Liming Groupe : MOD 4.6_1"	""	"Salle 12"
"Automatique Avancée / Extraction de connaissances et apprentissage artificiel / Extraction de Connaissances et apprentissage artificiel (BE)"	"10/09/2018 08:00 AM CEST"	"10/09/2018 10:00 AM CEST"	"Enseignant : SAIDI Alexandre Groupe : MOD 7.2_a"	""	"Salle 116"
"Automatique Avancée / Extraction de connaissances et apprentissage artificiel / Extraction de Connaissances et apprentissage artificiel (BE)"	"10/09/2018 10:15 AM CEST"	"10/09/2018 12:15 PM CEST"	"Enseignant : SAIDI Alexandre Groupe : MOD 7.2_a"	""	"Salle 116"
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (Cours)"	"10/09/2018 02:00 PM CEST"	"10/09/2018 04:00 PM CEST"	"Enseignant : NAVARRO David Groupe : MOD 3.3"	""	"F7 - 1Etg"
"Représentation et manipulation de données structurées (Cours)"	"10/09/2018 04:15 PM CEST"	"10/09/2018 06:15 PM CEST"	"Enseignant : MULLER Daniel Groupe : MOD 8.4"	""	"Salle 104"
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (Cours)"	"10/10/2018 08:00 AM CEST"	"10/10/2018 10:00 AM CEST"	"Enseignant : MARCHAND Cédric Groupe : MOD 3.3"	""	"F7 - 1Etg"
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (Cours)"	"10/10/2018 10:15 AM CEST"	"10/10/2018 12:15 PM CEST"	"Enseignant : MARCHAND Cédric Groupe : MOD 3.3"	""	"F7 - 1Etg"
"Réseaux informatiques (BE)"	"10/11/2018 08:00 AM CEST"	"10/11/2018 10:00 AM CEST"	"Enseignant : CHALON René Groupe : MOD 9.5_1"	""	"Salle 103"
"Réseaux informatiques (BE)"	"10/11/2018 10:15 AM CEST"	"10/11/2018 12:15 PM CEST"	"Enseignant : CHALON René Groupe : MOD 9.5_1"	""	"Salle 103"
"Droit de l'entreprise (Cours)"	"10/12/2018 08:00 AM CEST"	"10/12/2018 10:00 AM CEST"	"Enseignant : DEL PUPPO Sophie Groupe : MOM 3.1"	""	"Amphi 202"
"Intelligence économique et protection de l'information (Cours)"	"10/12/2018 10:15 AM CEST"	"10/12/2018 12:15 PM CEST"	"Enseignant : MIRA BONNARDEL Sylvie Groupe : MOM 2.2"	""	"Amphi 1bis"
"Réseaux informatiques (Cours)"	"10/12/2018 01:30 PM CEST"	"10/12/2018 03:30 PM CEST"	"Enseignant : CHALON René Groupe : MOD 9.5"	""	"Amphi 201"
"Système de bases de données / Systèmes de bases de données (Cours)"	"10/12/2018 03:45 PM CEST"	"10/12/2018 05:45 PM CEST"	"Enseignant : CHEN Liming Groupe : MOD 4.6"	""	"Amphi 201"
"Défis informatiques du Big Data (Cours)"	"10/15/2018 08:00 AM CEST"	"10/15/2018 10:00 AM CEST"	"Enseignant : DERRODE Stéphane Groupe : MOD 2.1"	""	"Amphi 201"
"Automatique Avancée / Extraction de connaissances et apprentissage artificiel / Extraction de Connaissances et apprentissage artificiel (Cours)"	"10/15/2018 10:15 AM CEST"	"10/15/2018 12:15 PM CEST"	"Enseignant : SAIDI Alexandre Groupe : MOD 7.2"	""	"Amphi 201"
"Représentation et manipulation de données structurées (BE)"	"10/15/2018 02:00 PM CEST"	"10/15/2018 04:00 PM CEST"	"Enseignant : MULLER Daniel Groupe : MOD 8.4_1"	""	"H9 - BE - TIC"
"Représentation et manipulation de données structurées (BE)"	"10/15/2018 04:15 PM CEST"	"10/15/2018 06:15 PM CEST"	"Enseignant : MULLER Daniel Groupe : MOD 8.4_1"	""	"H9 - BE - TIC"
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (Cours)"	"10/16/2018 02:00 PM CEST"	"10/16/2018 04:00 PM CEST"	"Enseignant : MARCHAND Cédric Groupe : MOD 3.3"	""	"F7 - 1Etg"
"Représentation et manipulation de données structurées (Cours)"	"10/16/2018 04:15 PM CEST"	"10/16/2018 06:15 PM CEST"	"Enseignant : MULLER Daniel Groupe : MOD 8.4"	""	"Salle 104"
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (Cours)"	"10/17/2018 08:00 AM CEST"	"10/17/2018 10:00 AM CEST"	"Enseignant : MARCHAND Cédric Groupe : MOD 3.3"	""	"F7 - 1Etg"
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (Cours)"	"10/17/2018 10:15 AM CEST"	"10/17/2018 12:15 PM CEST"	"Enseignant : MARCHAND Cédric Groupe : MOD 3.3"	""	"F7 - 1Etg"
"Anglais fort (BE)"	"10/18/2018 08:00 AM CEST"	"10/18/2018 10:00 AM CEST"	"Enseignant : LOAEC Jacqueline Groupe : A4-9105"	""	"Salle 217 - LL"
"Système de bases de données / Systèmes de bases de données (Cours)"	"10/18/2018 10:15 AM CEST"	"10/18/2018 12:15 PM CEST"	"Enseignant : CHEN Liming Groupe : MOD 4.6"	""	"Amphi 1"
"Droit de l'entreprise (Cours)"	"10/19/2018 08:00 AM CEST"	"10/19/2018 10:00 AM CEST"	"Enseignant : DEL PUPPO Sophie Groupe : MOM 3.1"	""	"Amphi 202"
"Intelligence économique et protection de l'information (Cours)"	"10/19/2018 10:15 AM CEST"	"10/19/2018 12:15 PM CEST"	"Enseignant : MIRA BONNARDEL Sylvie Groupe : MOM 2.2"	""	"Amphi 1bis"
"Réseaux informatiques (Cours)"	"10/19/2018 01:30 PM CEST"	"10/19/2018 03:30 PM CEST"	"Enseignant : CHALON René Groupe : MOD 9.5"	""	"Amphi 201"
"Système de bases de données / Systèmes de bases de données (BE)"	"10/19/2018 03:45 PM CEST"	"10/19/2018 05:45 PM CEST"	"Groupe : MOD 4.6_1"	""	"Salle 102"
"Défis informatiques du Big Data (Cours)"	"10/22/2018 08:00 AM CEST"	"10/22/2018 10:00 AM CEST"	"Enseignant : DERRODE Stéphane Groupe : MOD 2.1"	""	"Amphi 201"
"Automatique Avancée / Extraction de connaissances et apprentissage artificiel / Extraction de Connaissances et apprentissage artificiel (Cours)"	"10/22/2018 10:15 AM CEST"	"10/22/2018 12:15 PM CEST"	"Enseignant : SAIDI Alexandre Groupe : MOD 7.2"	""	"Amphi 201"
"Système de bases de données / Systèmes de bases de données (BE)"	"10/22/2018 02:00 PM CEST"	"10/22/2018 04:00 PM CEST"	"Groupe : MOD 4.6_1"	""	"Salle 13"
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (Autonomie)"	"10/23/2018 02:00 PM CEST"	"10/23/2018 04:00 PM CEST"	"Groupe : MOD 3.3"	""	""
"Représentation et manipulation de données structurées (Cours)"	"10/23/2018 04:15 PM CEST"	"10/23/2018 06:15 PM CEST"	"Enseignant : MULLER Daniel Groupe : MOD 8.4"	""	"Amphi 202"
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (Autonomie)"	"10/24/2018 08:00 AM CEST"	"10/24/2018 10:00 AM CEST"	"Groupe : MOD 3.3"	""	""
"Systèmes embarqués en environnement hostile / Systèmes embarqués sécurisés (Cours)"	"10/24/2018 10:15 AM CEST"	"10/24/2018 12:15 PM CEST"	"Enseignant : MARCHAND Cédric Groupe : MOD 3.3"	""	"F7 - 1Etg"
"Réseaux informatiques (BE)"	"10/25/2018 08:00 AM CEST"	"10/25/2018 10:00 AM CEST"	"Enseignant : MULLER Daniel Groupe : MOD 9.5_1"	""	"Salle 101"
"Réseaux informatiques (BE)"	"10/25/2018 10:15 AM CEST"	"10/25/2018 12:15 PM CEST"	"Enseignant : MULLER Daniel Groupe : MOD 9.5_1"	""	"Salle 101"
"Droit de l'entreprise (Cours)"	"10/26/2018 08:00 AM CEST"	"10/26/2018 10:00 AM CEST"	"Enseignant : DEL PUPPO Sophie Groupe : MOM 3.1"	""	"Amphi 202"
"Intelligence économique et protection de l'information (Cours)"	"10/26/2018 10:15 AM CEST"	"10/26/2018 12:15 PM CEST"	"Enseignant : MIRA BONNARDEL Sylvie Groupe : MOM 2.2"	""	"Amphi 1bis"
"Réseaux informatiques (Cours)"	"10/26/2018 01:30 PM CEST"	"10/26/2018 03:30 PM CEST"	"Enseignant : CHALON René Groupe : MOD 9.5"	""	"Amphi 201"
"Système de bases de données / Systèmes de bases de données (BE)"	"10/26/2018 03:45 PM CEST"	"10/26/2018 05:45 PM CEST"	"Enseignant : DUMAS Julie Groupe : MOD 4.6_1"	""	"Salle 101"
"Défis informatiques du Big Data (Cours)"	"11/05/2018 08:00 AM CET"	"11/05/2018 10:00 AM CET"	"Enseignant : CRIPPA Valentina, DERRODE Stéphane Groupe : MOD2.1"	""	"Amphi 1"
