end_time,start_time,duration,time_offset,exercise_type,max_speed,calorie,mean_speed,update_time,live_data,distance,datauuid,create_time
2018-06-29 18:22:33.000,2018-06-29 17:56:00.000,1593446,UTC+0100,1001,1.6417742,99.562744,1.3914346,2018-06-29 18:25:20.645,2cbdfbef-928f-4a78-a2e9-6bfd8a91ca77.live_data.json,2217.1758,2cbdfbef-928f-4a78-a2e9-6bfd8a91ca77,2018-06-29 18:25:20.645
2018-07-07 12:30:12.000,2018-07-07 12:13:05.000,1027088,UTC+0100,1001,1.828105,62.881714,1.3564404,2018-07-07 12:35:00.046,2dadb07b-8e29-4d7e-89f1-e160f0dadbfa.live_data.json,1393.1836,2dadb07b-8e29-4d7e-89f1-e160f0dadbfa,2018-07-07 12:35:00.046
2018-06-14 07:17:28.000,2018-06-14 06:47:00.000,1828287,UTC+0100,1001,2.169131,113.77935,1.3955662,2018-06-14 07:19:52.144,2ed0cf89-bef2-4bab-be56-b28016a1d146.live_data.json,2551.4958,2ed0cf89-bef2-4bab-be56-b28016a1d146,2018-06-14 07:19:52.144
2018-10-07 13:47:41.000,2018-10-07 13:02:00.000,2740718,UTC+0200,1001,1.645156,165.03705,1.3140255,2018-10-07 13:55:00.034,2f47a01d-4502-4702-b242-68fe0064107e.live_data.json,3601.373,2f47a01d-4502-4702-b242-68fe0064107e,2018-10-07 13:55:00.034
2018-11-10 14:06:40.000,2018-11-10 13:38:00.000,1720710,UTC+0100,1001,1.6183574,106.45059,1.375043,2018-11-10 14:07:49.911,2f9f0d06-891f-44f6-8b90-efb0e268d156.live_data.json,2366.0503,2f9f0d06-891f-44f6-8b90-efb0e268d156,2018-11-10 14:07:49.911
2018-06-17 18:56:20.000,2018-06-17 18:33:01.000,1398578,UTC+0100,1001,1.6495198,93.81105,1.4992145,2018-06-17 19:01:43.606,3141da06-f27c-492f-8465-ca7966b5bb0c.live_data.json,2096.7686,3141da06-f27c-492f-8465-ca7966b5bb0c,2018-06-17 19:01:43.606
2018-06-24 14:21:55.000,2018-06-24 13:48:00.000,2035569,UTC+0100,1001,1.484944,119.24548,1.2667181,2018-06-24 14:29:19.482,35173c3b-2fb1-4a9e-9f0d-104c14915a64.live_data.json,2578.4922,35173c3b-2fb1-4a9e-9f0d-104c14915a64,2018-06-24 14:29:19.482
2018-08-04 12:56:38.000,2018-08-04 12:45:00.000,698593,UTC+0200,1001,1.5332409,38.286377,1.1885602,2018-08-04 12:56:21.072,361acd40-fc4e-4476-b143-61d82a539391.live_data.json,830.3198,361acd40-fc4e-4476-b143-61d82a539391,2018-08-04 12:56:21.072
2019-01-01 18:20:16.000,2019-01-01 18:09:00.000,676544,UTC+0100,1001,1.7877091,39.253876,1.3138007,2019-01-01 18:22:48.635,3644e432-4ae4-4a9e-9b32-14c5353018c6.live_data.json,888.844,3644e432-4ae4-4a9e-9b32-14c5353018c6,2019-01-01 18:22:48.635
2018-12-13 12:14:05.000,2018-12-13 12:01:00.000,784801,UTC+0100,1001,2.5392818,50.227875,1.4621491,2018-12-13 12:16:04.367,36dc1105-05d0-49a1-8ba3-e43e53788e8d.live_data.json,1147.4961,36dc1105-05d0-49a1-8ba3-e43e53788e8d,2018-12-13 12:16:04.367
